"","x","error_rate_mean","average_quality_mean","percent_mapped_mean","percent_peptides_detected_mean","percent_peptides_between_10_and_100_mean","error_rate_median","average_quality_median","percent_mapped_median","percent_peptides_detected_median","percent_peptides_between_10_and_100_median","error_rate_sd","average_quality_sd","percent_mapped_sd","percent_peptides_detected_sd","percent_peptides_between_10_and_100_sd"
"33","trim50.20_n2_rd0_pep168_",0.0021621995,35.3875,78.0075839794523,55.1648253116789,22.973404960353,0.00198333,35.4,85.0871751387797,70.6363005527963,26.4496284803169,0.000581247036411492,0.0834522960396269,19.6093358449274,34.6983651354328,18.7677028017321
"34","trim50.20_n2_rd0_pep50_",0.0021621995,35.3875,78.0075839794523,55.1648253116789,22.973404960353,0.00198333,35.4,85.0871751387797,70.6363005527963,26.4496284803169,0.000581247036411492,0.0834522960396269,19.6093358449274,34.6983651354328,18.7677028017321
"35","trim50.20_n2_rd50_pep168_",0.0021621995,35.3875,78.0075839794523,55.1648253116789,22.973404960353,0.00198333,35.4,85.0871751387797,70.6363005527963,26.4496284803169,0.000581247036411492,0.0834522960396269,19.6093358449274,34.6983651354328,18.7677028017321
"36","trim50.20_n2_rd50_pep50_",0.0021621995,35.3875,78.0075839794523,55.1648253116789,22.973404960353,0.00198333,35.4,85.0871751387797,70.6363005527963,26.4496284803169,0.000581247036411492,0.0834522960396269,19.6093358449274,34.6983651354328,18.7677028017321
"37","trim50.20_n3_rd0_pep168_",0.00222489175,35.3875,78.0422788518735,55.1765205797734,22.9796424366701,0.0020160985,35.4,85.1180453894353,70.645656767272,26.4566456411736,0.000667843399424863,0.0834522960396269,19.5885071305596,34.6906153656194,18.770996380767
"38","trim50.20_n3_rd0_pep50_",0.00222489175,35.3875,78.0422788518735,55.1765205797734,22.9796424366701,0.0020160985,35.4,85.1180453894353,70.645656767272,26.4566456411736,0.000667843399424863,0.0834522960396269,19.5885071305596,34.6906153656194,18.770996380767
"39","trim50.20_n3_rd50_pep168_",0.00222489175,35.3875,78.0422788518735,55.1765205797734,22.9796424366701,0.0020160985,35.4,85.1180453894353,70.645656767272,26.4566456411736,0.000667843399424863,0.0834522960396269,19.5885071305596,34.6906153656194,18.770996380767
"40","trim50.20_n3_rd50_pep50_",0.00222489175,35.3875,78.0422788518735,55.1765205797734,22.9796424366701,0.0020160985,35.4,85.1180453894353,70.645656767272,26.4566456411736,0.000667843399424863,0.0834522960396269,19.5885071305596,34.6906153656194,18.770996380767
"41","trim50.25_n2_rd0_pep168_",0.0022371935,35.4125,80.058398286053,55.6554418082444,23.2561380665383,0.00206921,35.4,87.0526889688223,71.5317682465674,26.65663472559,0.000528332210934695,0.0640869944461665,20.4654939638726,35.0193389206553,19.00964260952
"42","trim50.25_n2_rd0_pep50_",0.0022371935,35.4125,80.058398286053,55.6554418082444,23.2561380665383,0.00206921,35.4,87.0526889688223,71.5317682465674,26.65663472559,0.000528332210934695,0.0640869944461665,20.4654939638726,35.0193389206553,19.00964260952
"43","trim50.25_n2_rd50_pep168_",0.0022371935,35.4125,80.058398286053,55.6554418082444,23.2561380665383,0.00206921,35.4,87.0526889688223,71.5317682465674,26.65663472559,0.000528332210934695,0.0640869944461665,20.4654939638726,35.0193389206553,19.00964260952
"44","trim50.25_n2_rd50_pep50_",0.0022371935,35.4125,80.058398286053,55.6554418082444,23.2561380665383,0.00206921,35.4,87.0526889688223,71.5317682465674,26.65663472559,0.000528332210934695,0.0640869944461665,20.4654939638726,35.0193389206553,19.00964260952
"45","trim50.25_n3_rd0_pep168_",0.0022851075,35.4125,80.0808859631957,55.6659675495295,23.2598415681015,0.0020943405,35.4,87.07271902927,71.5395650919638,26.6620925173675,0.00059423773589941,0.0640869944461665,20.4525034976457,35.0140653319044,19.0120875245377
